activity
id name takeEffect platform position icon delay type start end order hot parameter des
number string number number number string number number number number number number string string
1 1元礼包 1  1  1 1 1 999 1  10001 奖励
2 7日签到 1  1  1 3 1 7 2   
3 累计登陆 1  1  1 1 1 999 3   
4 收藏有礼 1  1  1 1 1 999 4  10001 奖励

aiBattle
id miss head body horseHead horseBody weak full timeMin timeMax
number number number number number number number number number number
1 150 50 150 50 100 0 40 5 10
2 150 50 150 50 100 30 40 5 10
3 100 50 100 50 100 50 60 5 8
4 100 100 150 50 25 100 60 5 8
5 100 100 150 50 25 100 80 4 8
6 100 100 150 50 25 100 80 4 8
7 50 150 50 50 20 100 100 4 6
8 0 100 50 50 25 100 100 4 6

battle
id type max min
number number number number
1 1 135 150
2 2 75 90
3 3 45 60
4 4 20 30
5 5 200 200

box
id icon time dropId number repeat
number string number number number number
10001 10001 -1 10001 8 0
10002 10001 -1 10002 8 0
10003 10001 -1 10003 8 0
10004 10001 -1 10004 8 0
10005 10001 -1 10005 8 0
10006 10001 -1 10005 8 0
10007 10001 -1 10005 8 0
10008 10001 -1 10005 8 0
11001 10001 7200 10001 4 0
11002 10001 14400 10002 8 0
11003 10001 28800 10003 12 0
12001 10001 7200 10001 4 0
12002 10001 14400 10002 8 0
12003 10001 28800 10003 12 0
13001 10001 7200 10001 4 0
13002 10001 14400 10002 8 0
13003 10001 28800 10003 12 0
14001 10001 7200 10001 4 0
14002 10001 14400 10002 8 0
14003 10001 28800 10003 12 0
15001 10001 7200 10001 4 0
15002 10001 14400 10002 8 0
15003 10001 28800 10003 12 0
16001 10001 7200 10001 4 0
16002 10001 14400 10002 8 0
16003 10001 28800 10003 12 0
17001 10001 7200 10001 4 0
17002 10001 14400 10002 8 0
17003 10001 28800 10003 12 0
18001 10001 7200 10001 4 0
18002 10001 14400 10002 8 0
18003 10001 28800 10003 12 0
20001 10001 -1 10001 4 0
20002 10001 -1 10002 4 0
20003 10001 -1 10003 4 0
20004 10001 -1 10004 4 0
20005 10001 -1 10005 4 0
20006 10001 -1 10005 4 0
20007 10001 -1 10005 4 0
20008 10001 -1 10005 4 0
21001 10001 -1 10001 5 1
21002 10001 -1 10002 10 1
21003 10001 -1 10003 15 1
21004 10001 -1 10004 20 1
21005 10001 -1 10005 25 1
21006 10001 -1 10005 30 1
21007 10001 -1 10005 35 1
21008 10001 -1 10005 40 1

landing
id day gift
number number number
1 1 10001
2 2 10001
3 3 10001
4 5 10001
5 7 10001

sevenDays
id type day gift
number number number number
1 1 1 10001
2 1 2 10001
3 1 3 10001
4 1 4 10001
5 1 5 10001
6 1 6 10001
7 1 7 10001
8 2 1 10001
9 2 3 10001
10 2 5 10001
11 2 7 10001

uiConfig
id name resGroup type autoDestroy destroyDelay touchBlankToHide animationShow animationHide bannerAdState
number string string number boolean number boolean number number number
1 HomeUI home_ui 1 1 10 0 1 1 1
2 EquipUI  1 1 10 0 2 2 1
3 Popup1  3 1 5 1 2 2 1
4 Popup2  3 1 5 1 2 2 1
